CaptureDate,CaptureTime,LinkID,VehicleGroup,PatchType,Duration,Observations,,,,,,,,
2011/1/1,58200,1309,1002,0,391,42,,,,,,,,
2011/1/1,58500,1309,1002,0,413,58,,,,,,,,
2011/1/1,58800,1309,1002,0,389,32,,,,,,,,
2011/1/1,59100,1309,1002,0,405,55,,,,,,,,
2011/1/1,59400,1309,1002,0,402,58,,,,,,,,
2011/1/1,59700,1309,1002,0,396,34,,,,,,,,
2011/1/1,60000,1309,1002,0,401,43,,,,,,,,
2011/1/1,60300,1309,1002,0,403,31,,,,,,,,
2011/1/1,60600,1309,1002,0,382,50,,,,,,,,
2011/1/1,60900,1309,1002,0,419,45,,,,,,,,
2011/1/1,61200,1309,1002,0,414,31,,,,,,,,
2011/1/1,61500,1309,1002,0,412,40,,,,,,,,
2011/1/1,61800,1309,1002,0,418,43,,,,,,,,
2011/1/1,62100,1309,1002,0,407,57,,,,,,,,
2011/1/1,62400,1309,1002,0,401,50,,,,,,,,
2011/1/1,62700,1309,1002,0,411,39,,,,,,,,
2011/1/1,63000,1309,1002,0,391,43,,,,,,,,
2011/1/1,63300,1309,1002,0,399,33,,,,,,,,
2011/1/1,63600,1309,1002,0,409,46,,,,,,,,
2011/1/1,63900,1309,1002,0,432,37,,,,,,,,
2011/1/1,64200,1309,1002,0,399,42,,,,,,,,
2011/1/1,64500,1309,1002,0,382,46,,,,,,,,
2011/1/1,64800,1309,1002,0,396,51,,,,,,,,
2011/1/1,65100,1309,1002,0,361,55,,,,,,,,
2011/1/1,65400,1309,1002,0,406,53,,,,,,,,
2011/1/1,65700,1309,1002,0,379,46,,,,,,,,
2011/1/1,66000,1309,1002,0,370,26,,,,,,,,
2011/1/1,66300,1309,1002,0,373,45,,,,,,,,
2011/1/1,66600,1309,1002,0,387,50,,,,,,,,
2011/1/1,66900,1309,1002,0,368,27,,,,,,,,
2011/1/1,67200,1309,1002,0,366,32,,,,,,,,
2011/1/1,67500,1309,1002,0,361,25,,,,,,,,
2011/1/1,67800,1309,1002,0,388,40,,,,,,,,
2011/1/1,68100,1309,1002,0,391,42,,,,,,,,
2011/1/1,68400,1309,1002,0,373,35,,,,,,,,
2011/1/1,68700,1309,1002,0,398,35,,,,,,,,
2011/1/1,69000,1309,1002,0,396,50,,,,,,,,
2011/1/1,69300,1309,1002,0,378,40,,,,,,,,
2011/1/1,69600,1309,1002,0,371,37,,,,,,,,
2011/1/1,69900,1309,1002,0,366,40,,,,,,,,
2011/1/1,70200,1309,1002,0,389,31,,,,,,,,
2011/1/1,70500,1309,1002,0,376,47,,,,,,,,
2011/1/1,70800,1309,1002,0,374,25,,,,,,,,
2011/1/1,71100,1309,1002,0,392,28,,,,,,,,
2011/1/1,71400,1309,1002,0,369,33,,,,,,,,
2011/1/1,71700,1309,1002,0,391,32,,,,,,,,
2011/1/1,72000,1309,1002,0,376,26,,,,,,,,
2011/1/1,72300,1309,1002,0,398,47,,,,,,,,
2011/1/1,72600,1309,1002,0,398,35,,,,,,,,
2011/1/1,72900,1309,1002,0,395,44,,,,,,,,
2011/1/1,73200,1309,1002,0,391,40,,,,,,,,
2011/1/1,73500,1309,1002,0,383,35,,,,,,,,
2011/1/1,73800,1309,1002,0,381,38,,,,,,,,
2011/1/1,74100,1309,1002,0,378,34,,,,,,,,
2011/1/1,74400,1309,1002,0,381,42,,,,,,,,
2011/1/1,74700,1309,1002,0,340,25,,,,,,,,
2011/1/1,75000,1309,1002,0,350,36,,,,,,,,
2011/1/1,75300,1309,1002,0,364,23,,,,,,,,
2011/1/1,75600,1309,1002,0,354,24,,,,,,,,
2011/1/1,75900,1309,1002,0,358,28,,,,,,,,
2011/1/1,76200,1309,1002,0,372,30,,,,,,,,
2011/1/1,76500,1309,1002,0,377,33,,,,,,,,
2011/1/1,76800,1309,1002,0,373,18,,,,,,,,
2011/1/1,77100,1309,1002,0,372,25,,,,,,,,
2011/1/1,77400,1309,1002,0,378,32,,,,,,,,
2011/1/1,77700,1309,1002,0,385,20,,,,,,,,
2011/1/1,78000,1309,1002,0,386,21,,,,,,,,
2011/1/1,78300,1309,1002,0,385,16,,,,,,,,
2011/1/1,78600,1309,1002,0,383,30,,,,,,,,
2011/1/1,78900,1309,1002,0,367,18,,,,,,,,
2011/1/1,79200,1309,1002,0,389,15,,,,,,,,
2011/1/1,79500,1309,1002,0,375,30,,,,,,,,
2011/1/1,79800,1309,1002,0,374,29,,,,,,,,
2011/1/1,80100,1309,1002,0,393,24,,,,,,,,
